Gene_ID	par_rep1	par_rep2	per_rep1	per_rep2	per_rep3
ENSG00000169885.5	187	173	331	354	379
ENSG00000178821.8	99	98	46	48	50
ENSG00000142609.13	15	15	34	39	38
ENSG00000233542.1	1	0	2	0	1
ENSG00000187730.6	313	303	108	107	114
ENSG00000226969.1	1	5	4	2	2
ENSG00000067606.11	1930	1835	2441	2740	2588
ENSG00000271806.1	6	9	20	29	17
ENSG00000182873.4	291	211	446	467	526
ENSG00000162585.12	1866	1749	1561	1854	1716
ENSG00000269554.1	0	0	0	0	0
ENSG00000203301.2	7	7	7	14	14
ENSG00000243558.1	0	0	0	0	0
ENSG00000234396.3	2	5	2	2	6
ENSG00000157933.9	6143	6055	8196	9050	9479
ENSG00000116151.9	419	378	515	577	474
ENSG00000272161.1	10	4	12	8	20
ENSG00000269753.1	6	8	14	11	9
ENSG00000269896.1	155	146	97	84	78
ENSG00000238240.2	0	0	0	0	0
ENSG00000272420.1	24	29	38	48	46
ENSG00000271921.1	3	10	3	4	5
ENSG00000271847.1	8	12	9	6	5
ENSG00000178642.5	0	0	0	0	0
ENSG00000157916.14	8159	8504	7323	7461	7540
ENSG00000157911.5	1571	1541	1406	1621	1415
ENSG00000149527.13	211	172	465	546	516
ENSG00000224387.1	6	6	6	7	5
ENSG00000229393.1	5	4	8	9	11
ENSG00000157881.9	2122	2020	1407	1673	1713
ENSG00000197921.5	2	4	1	4	3
ENSG00000272449.1	128	101	119	109	121
ENSG00000238164.2	5	5	14	10	11
ENSG00000157873.13	4	2	10	17	10
ENSG00000225931.3	1	0	4	0	0
ENSG00000228037.1	3	6	2	2	1
ENSG00000157870.10	5471	5253	4130	4661	4419
ENSG00000142606.11	170	154	87	111	93
ENSG00000237058.1	0	0	0	0	0
ENSG00000215912.7	22	16	99	87	108
ENSG00000233234.1	0	0	0	0	0
ENSG00000231630.1	1	3	0	0	0
ENSG00000169717.5	0	0	0	0	0
ENSG00000177133.6	47	36	49	50	65
ENSG00000256761.1	0	0	0	0	0
ENSG00000142611.12	1520	1613	964	1109	1003
ENSG00000226286.1	14	15	6	4	3
ENSG00000272235.1	3	2	3	0	1
ENSG00000130762.10	6131	5869	3379	3640	3739
ENSG00000272088.1	41	30	32	53	59
ENSG00000162591.11	3990	3951	7387	9788	9537
ENSG00000207776.1	0	0	0	0	0
ENSG00000238260.1	18	10	96	110	85
ENSG00000158109.10	3888	3884	4569	4556	4457
ENSG00000116213.11	2471	2339	3049	3171	3151
ENSG00000078900.10	43	61	24	31	24
ENSG00000227589.1	1	0	1	2	1
ENSG00000235131.1	0	0	0	0	0
ENSG00000227372.6	39	34	83	89	79
ENSG00000162592.4	1	1	0	0	1
ENSG00000235169.3	181	158	77	72	66
ENSG00000130764.5	7295	7176	6397	6711	6232
ENSG00000266075.1	10	8	13	21	11
ENSG00000272153.1	97	105	156	171	159
ENSG00000116198.8	4707	4755	3448	4070	4102
ENSG00000169598.11	793	727	883	937	1100
ENSG00000264428.1	0	0	0	0	0
ENSG00000198912.6	2266	2217	1932	2082	2140
ENSG00000236423.1	39	42	50	52	47
ENSG00000233304.1	1	0	0	1	0
ENSG00000226374.1	1	0	0	0	0
ENSG00000229280.1	1	1	0	0	0
ENSG00000235054.1	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0
ENSG00000232596.1	0	0	0	0	0
ENSG00000196581.6	6	3	9	5	0
ENSG00000231510.1	1	0	0	0	0
ENSG00000260972.1	0	0	0	0	0
ENSG00000264341.1	0	1	0	0	0
ENSG00000236948.1	2	0	0	0	0
ENSG00000216045.2	0	0	0	0	0
ENSG00000264101.1	0	0	1	0	0
ENSG00000131697.13	1609	1557	1397	1445	1423
ENSG00000266687.1	0	0	0	0	0
ENSG00000069424.10	740	773	2834	3200	3004
ENSG00000268332.1	0	0	0	0	0
ENSG00000116254.13	113	104	270	326	321
ENSG00000116251.5	15928	16392	21340	22737	21852
ENSG00000226944.1	51	29	89	88	89
ENSG00000158286.8	589	607	1428	1577	1588
ENSG00000116237.11	14283	14704	8924	9091	8222
ENSG00000225077.2	60	41	43	34	45
ENSG00000173673.7	0	0	0	0	0
ENSG00000158292.6	700	642	682	791	720
ENSG00000097021.15	4144	4050	916	977	815
ENSG00000271746.1	0	0	0	0	0
ENSG00000069812.7	229	158	290	407	334
ENSG00000187017.10	7443	6934	6886	8144	7858
ENSG00000265392.1	1	0	0	0	1
ENSG00000231868.1	41	55	37	61	59
ENSG00000215788.5	879	802	1612	1818	2147
ENSG00000171680.16	1746	1545	2555	2995	2751
ENSG00000162408.10	3230	3351	3234	3356	3045
ENSG00000253022.1	0	1	1	0	0
ENSG00000229519.2	28	22	19	32	18
ENSG00000173662.15	4	3	12	17	16
ENSG00000204859.7	1576	1419	1806	2099	2117
ENSG00000162413.12	3684	3700	10839	13208	10839
ENSG00000116273.5	2503	2504	3012	3346	2880
ENSG00000041988.11	1073	1019	943	1112	1026
ENSG00000007923.11	6745	6828	5207	5546	5082
ENSG00000228750.1	0	0	1	0	1
ENSG00000239166.1	0	0	0	0	0
ENSG00000237436.1	14	14	25	24	24
ENSG00000171735.14	2451	2482	1696	2001	1863
ENSG00000227950.1	0	1	4	0	1
ENSG00000237365.1	0	1	1	0	0
ENSG00000207056.1	0	0	0	0	1
ENSG00000237402.1	1	0	0	4	1
ENSG00000237728.1	0	0	0	0	0
ENSG00000225126.1	7	8	3	1	1
ENSG00000270171.1	2	1	10	28	34
ENSG00000270035.1	5	6	13	24	17
ENSG00000269978.1	4	6	23	20	30
ENSG00000049245.8	8344	8250	9255	9747	9338
ENSG00000269925.1	48	69	91	140	95
ENSG00000049246.10	1139	1326	1443	1844	1823
ENSG00000236266.1	10	12	18	18	11
ENSG00000049247.9	1	0	2	0	1
ENSG00000049249.4	1	0	0	0	0
ENSG00000270330.1	1	1	1	0	2
ENSG00000116288.8	15557	15402	8496	8550	7845
ENSG00000200344.1	4	7	2	2	6
ENSG00000116285.8	5945	4901	2284	2426	2583
ENSG00000238290.1	0	2	3	1	4
ENSG00000232848.1	13	8	12	8	14
ENSG00000229305.1	0	0	0	0	0
ENSG00000200975.1	0	0	0	0	0
ENSG00000227634.1	0	0	0	0	0
ENSG00000233645.1	0	0	0	0	0
ENSG00000265414.1	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0
ENSG00000162426.10	1	1	2	4	0
ENSG00000252254.1	0	0	0	0	0
ENSG00000142599.13	13030	12676	17587	21329	18080
ENSG00000232912.1	1	7	11	8	8
ENSG00000221083.1	1	0	1	0	2
ENSG00000270282.1	1	1	4	3	1
ENSG00000234619.1	5	3	3	4	5
ENSG00000224315.2	13	9	12	14	15
ENSG00000222511.1	0	0	0	0	1
ENSG00000226545.1	0	1	0	2	1
ENSG00000228423.2	1	1	0	1	0
ENSG00000229716.2	1	4	2	6	6
ENSG00000074800.9	103300	101592	69141	73963	68346
ENSG00000236269.1	43	33	9	15	14
ENSG00000230679.1	9	13	15	17	23
ENSG00000201725.1	0	0	1	0	0
ENSG00000238249.1	14	11	13	8	6
ENSG00000232208.2	0	0	0	0	1
ENSG00000232663.2	4	0	4	1	1
ENSG00000131686.10	0	1	4	4	2
ENSG00000265141.1	1	0	0	1	0
ENSG00000197241.3	1	2	0	4	7
ENSG00000142583.13	14	14	17	27	31
ENSG00000252404.1	0	0	0	1	0
ENSG00000180758.10	3144	3171	3085	3370	2847
ENSG00000207865.1	13	14	15	18	11
ENSG00000228526.2	7	7	12	17	9
ENSG00000234546.2	35	33	49	88	51
ENSG00000049239.8	4018	4213	8765	10634	9379
ENSG00000252841.1	0	0	1	0	0
ENSG00000171621.9	778	787	1301	1395	1253
ENSG00000252956.1	0	0	0	1	0
ENSG00000235263.1	0	0	0	0	0
ENSG00000171612.6	1393	1230	626	682	532
ENSG00000231181.1	41	49	57	50	32
ENSG00000188807.8	2214	2134	1573	2072	1907
ENSG00000171608.11	65	61	102	124	137
ENSG00000179840.5	0	0	0	0	1
ENSG00000233268.3	0	0	0	0	0
ENSG00000231789.2	0	1	0	0	0
ENSG00000171603.12	23296	22216	20715	23453	21770
ENSG00000271264.1	2	2	0	2	0
ENSG00000178585.10	5998	5595	4110	4559	4301
ENSG00000223989.1	0	0	0	0	0
ENSG00000162441.7	2957	3239	2219	2402	2304
ENSG00000228150.1	21	25	29	30	32
ENSG00000173614.9	1506	1507	1559	1530	1659
ENSG00000202415.1	9	16	9	12	5
ENSG00000265521.1	0	0	2	1	3
ENSG00000241326.1	0	0	0	0	0
ENSG00000162444.11	1	0	2	2	3
ENSG00000225786.2	0	0	0	0	1
ENSG00000130939.14	8247	8515	10533	10622	10148
ENSG00000224340.1	3	1	0	1	1
ENSG00000233623.2	1	1	2	5	2
ENSG00000201746.1	3	2	9	6	2
ENSG00000054523.12	10508	10970	9755	10460	10112
ENSG00000264881.1	0	0	0	0	0
ENSG00000199562.1	1	0	0	0	0
ENSG00000264501.1	0	0	0	0	0
ENSG00000265945.1	6	3	3	2	8
ENSG00000142657.16	18004	17966	8912	9192	8711
ENSG00000271989.1	2	2	0	2	0
ENSG00000175279.17	666	611	377	454	422
ENSG00000251503.3	0	0	0	0	0
ENSG00000241563.2	29	25	44	54	62
ENSG00000160049.7	4657	4630	5286	5821	5484
ENSG00000203469.2	0	0	0	0	0
ENSG00000142655.8	2019	1880	1708	1859	1839
ENSG00000243267.2	2	5	11	9	7
ENSG00000130940.10	5685	5723	7034	8524	7110
ENSG00000272078.1	233	189	266	339	272
ENSG00000225158.2	1	0	0	1	1
